# Time-averaged data for fix fixflux1
# TimeStep v_tempt1v v_tempt2v f_fix1 f_fix2 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
1300000 244.198 194.431 -111.657 20.6947 2.95525e-09 2.01727e-09 1.44994e-09 1.78789e-09 1.10431e-09 1.12986e-09 1.14325e-09 1.13546e-09
1310000 236.102 197.464 -131.615 25.475 6.77038e-09 5.95117e-10 8.92337e-10 4.93352e-09 2.91831e-10 2.1165e-10 8.5666e-11 4.79477e-11
1320000 237.85 195.303 -114.505 12.819 1.81224e-09 -4.16931e-09 -1.85531e-09 2.82458e-09 9.39262e-11 -1.82495e-09 -1.8004e-09 -1.70874e-09
1330000 237.97 192.601 -114.72 23.4741 -5.93711e-09 1.03123e-09 -1.15428e-09 -5.27681e-09 -4.19846e-10 2.9753e-10 1.96968e-10 1.2238e-10
1340000 233.087 188.363 -111.047 24.1257 3.34594e-09 1.35793e-11 1.74694e-09 2.36852e-09 8.17555e-10 4.26937e-10 5.21442e-10 5.09806e-10
1350000 234.194 194.107 -125.515 23.7595 7.27858e-09 2.06645e-10 1.44441e-09 2.99619e-09 2.81046e-09 -3.84383e-10 -1.78278e-10 -7.67067e-11
1360000 245.887 194.942 -118.404 29.3093 -1.46299e-09 1.70836e-09 1.58734e-09 -2.16433e-09 5.15207e-11 7.39851e-10 9.03084e-10 8.57763e-10
1370000 244.832 192.638 -118.817 12.9239 -6.44194e-09 -1.69513e-09 -1.77905e-09 -2.39741e-09 -3.20129e-09 -1.18393e-09 -1.05061e-09 -9.73098e-10
1380000 242.468 202.622 -143.952 10.6795 -1.11095e-09 4.91729e-09 4.13119e-09 -2.13128e-09 -8.08123e-10 2.16812e-09 2.34036e-09 2.3457e-09
1390000 237.613 198.509 -104.612 26.1762 -8.89513e-09 -4.99394e-09 -4.55186e-09 -3.27029e-09 -3.40987e-09 -2.20395e-09 -2.3373e-09 -2.37442e-09
1400000 236.295 199.306 -99.5473 8.85585 8.385e-09 4.97539e-10 1.49913e-09 5.01235e-09 2.76929e-09 1.70943e-10 3.44318e-10 3.81713e-10
1410000 229.138 196.514 -113.868 3.04536 8.85604e-09 4.43481e-09 3.45208e-09 3.27928e-09 2.71303e-09 1.78196e-09 1.69227e-09 1.69948e-09
1420000 240.837 200.09 -125.58 13.5246 6.1859e-09 -1.13515e-09 -1.27717e-09 5.7705e-09 1.58605e-09 -4.33803e-10 -5.00228e-10 -4.3514e-10
1430000 236.212 194.089 -130.328 14.7175 5.54882e-09 2.10792e-09 1.30444e-09 3.67052e-09 5.02856e-10 7.00958e-10 8.00788e-10 7.07733e-10
1440000 244.934 195.84 -108.914 19.3655 -4.1498e-09 -7.46952e-09 -2.81805e-09 -7.74704e-11 -1.98083e-09 -3.50337e-09 -3.10581e-09 -2.96105e-09
1450000 234.117 196.811 -112.229 8.35324 -4.32432e-09 4.62847e-09 9.27155e-10 -4.15552e-09 5.18867e-10 1.40519e-09 1.72669e-09 1.87503e-09
1460000 232.409 197.909 -116.638 8.61207 4.26864e-09 1.55122e-09 3.89644e-09 2.2319e-09 8.45614e-10 1.11208e-09 1.38265e-09 1.35025e-09
1470000 241.166 193.221 -128.803 18.5456 -1.193e-08 -5.12533e-09 -5.37785e-09 -4.43629e-09 -3.71867e-09 -2.65509e-09 -2.47686e-09 -2.37202e-09
1480000 238.287 195.706 -126.6 -0.375484 1.77313e-10 3.40438e-09 1.11156e-09 -1.09937e-09 1.24465e-09 1.25275e-09 1.42907e-09 1.43315e-09
1490000 243.422 196.561 -111.383 12.9366 -1.34088e-09 -2.78896e-09 -7.53891e-10 1.81256e-09 -2.91551e-09 -1.2864e-09 -1.20782e-09 -1.15983e-09
